date,Size USD
2024-12-10,3150424.08
2024-12-11,2194098.33
2024-12-12,4557189.87
2024-12-13,2880824.64
2024-12-14,2369561.78
2024-12-15,2583269.81
2024-12-16,2740808.97
2024-12-17,5233597.63
2024-12-18,3798887.07
2024-12-19,8241709.39
2024-12-20,7681274.71
2024-12-21,4382875.12
2024-12-22,3087320.22
2024-12-23,6771878.26
2024-12-24,1767036.11
2024-12-25,347889.35
2024-12-26,2205242.65
2024-12-27,347913.0
2024-12-28,281555.01
2024-12-29,344628.54
2024-12-30,1073865.73
2024-12-31,877164.62
2025-01-01,282582.1
2025-01-02,774674.84
2025-01-03,771208.99
2025-01-04,1826029.6199999999
2025-01-05,451943.57
2025-01-06,556526.99
2025-01-07,1313178.1
2025-01-08,3177275.18
2025-01-09,1020733.25
2025-01-10,6547449.68
2025-01-11,1658098.71
2025-01-12,2258459.17
2025-01-13,2936648.0100000002
2025-01-14,876581.97
2025-01-15,1801599.8900000001
2025-01-16,3049692.96
2025-01-17,1110230.46
2025-01-18,2711629.88
2025-01-19,9715215.3
2025-01-20,8287327.01
2025-01-21,1523729.82
2025-01-22,1778406.43
2025-01-23,3697028.66
2025-01-24,1611433.45
2025-01-25,1239377.7
2025-01-26,1201173.66
2025-01-27,1508028.31
2025-01-28,579412.17
2025-01-29,1897513.41
2025-01-30,3014397.17
2025-01-31,2783411.48
2025-02-01,1363746.44
2025-02-02,5661092.29
2025-02-03,22592901.37
2025-02-04,15678409.27
2025-02-05,8743231.51
2025-02-06,2818508.87
2025-02-07,3460263.54
2025-02-08,839734.97
2025-02-09,2920919.7
2025-02-10,3624958.44
2025-02-11,2797544.17
2025-02-12,4143974.54
2025-02-13,3199852.21
2025-02-14,4007103.42
2025-02-15,1712852.95
2025-02-16,806177.64
2025-02-17,2031044.64
2025-02-18,3371128.68
2025-02-19,3263930.24
2025-02-20,4628609.29
2025-02-21,3972159.88
2025-02-22,3175570.2
2025-02-23,1141310.74
2025-02-24,11223619.59
2025-02-25,19414984.36
2025-02-26,4946958.13
2025-02-27,1999898.43
2025-02-28,4123660.77
2025-03-01,263824.13
2025-03-02,6460848.74
2025-03-03,8244590.38
2025-03-04,11124247.15
2025-03-05,9193654.22
2025-03-06,6765324.96
